eventName,object_category
RunInstances,instance
StartInstances,instance
StopInstances,instance
TerminateInstances,instance
RebootInstances,instance
CreateSecurityGroup,firewall
DeleteSecurityGroup,firewall
AuthorizeSecurityGroupIngress,firewall
AuthorizeSecurityGroupEgress,firewall
RevokeSecurityGroupIngress,firewall
RevokeSecurityGroupEgress,firewall
CreateBucket,storage
DeleteBucket,storage
PutBucketPublicAccessBlock,storage
PutObject,storage
CreateVolume,disk
DeleteVolume,disk
AttachVolume,disk
DetachVolume,disk
CreateUser,user
DeleteUser,user
UpdateUser,user
